leaf_UID,input_images,target_image,target_placl
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230525_172420_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230527_102010_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230527_164909_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230529_122541_ESWW0070020_1.png,0.0002501712498223
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230527_102010_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230527_164909_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230529_122541_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230530_122548_ESWW0070020_1.png,0.0015383394615314
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230527_164909_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230529_122541_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230530_122548_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_094332_ESWW0070020_1.png,0.0033451760509835
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230529_122541_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230530_122548_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_094332_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_164152_ESWW0070020_1.png,0.0067750733701324
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230530_122548_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_094332_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_164152_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230601_155601_ESWW0070020_1.png,0.0125820254410163
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_094332_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_164152_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230601_155601_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230602_104754_ESWW0070020_1.png,0.0149932033797047
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230531_164152_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230601_155601_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230602_104754_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230603_105040_ESWW0070020_1.png,0.0210481073536118
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230601_155601_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230602_104754_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230603_105040_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230604_132542_ESWW0070020_1.png,0.0382662225337973
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230602_104754_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230603_105040_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230604_132542_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230606_084622_ESWW0070020_1.png,0.0601438404127074
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230603_105040_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230604_132542_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230606_084622_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230607_162917_ESWW0070020_1.png,0.0855736568534488
ESWW0070020_1,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230604_132542_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230606_084622_ESWW0070020_1.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230607_162917_ESWW0070020_1.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_1\overlay\20230608_162957_ESWW0070020_1.png,0.1256024387185408
ESWW0070020_10,C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230525_173337_ESWW0070020_10.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230527_102625_ESWW0070020_10.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230527_165508_ESWW0070020_10.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230529_122032_ESWW0070020_10.png,0.0474143523888537
ESWW0070020_10,C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230527_102625_ESWW0070020_10.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230527_165508_ESWW0070020_10.png|C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230529_122032_ESWW0070020_10.png,C:\Users\datir\project1\data\processed\ts\ESWW0070020_10\overlay\20230530_122041_ESWW0070020_10.png,0.0769900689601804
